author,title,URL,journal,volume
"Ming-Wei Lin, Cheng Ling, Luis A. Agapito, Nicholas Kioussis, Yiyang Zhang, Mark Ming-Cheng Cheng,","""Approaching the intrinsic band gap in suspended high-mobility graphene nanoribbons""",Papers/2011/PhysRevB_84_125411_2011.pdf,PHYSICAL REVIEW B,84
"JAdam Gali, Efthimios Kaxiras, Gergely T. Zimanyi, Sheng Meng,","""Effect of symmetry breaking on the optical absorption of semiconductor nanoparticles""",Papers/2011/PhysRevB_84_035325_2011.pdf,PHYSICAL REVIEW B,84
"Jan M. Knaup, Han Li, Joost J. Vlassak, and Efthimios Kaxiras,","""Influence of CH2 content and network defects on the elastic properties of organosilicate glasses""",Papers/2011/PhysRevB_83_054204_2011.pdf,PHYSICAL REVIEW B,83
"Martin Heiss, Sonia Conesa-Boj, Jun Ren, Hsiang-Han Tseng, Adam Gali,","""Direct correlation of crystal structure and optical properties in wurtzite/zinc-blende
GaAs nanowire heterostructures""",Papers/2011/PhysRevB_83_045303_2011.pdf,PHYSICAL REVIEW B,83
"Simone Melchionna, Efthimios Kaxiras, Massimo Bernaschi and Sauro Succi,","""Endothelial shear stress from large-scale blood flow simulations""",Papers/2011/PhilTransRSocA_369_2354_2011.pdf,Phil. Trans. R. Soc. A,369
"J R Maze, A Gali, E Togan, Y Chu, A Trifonov,","""Properties of nitrogen-vacancy centers in diamond:
the group theoretic approach""",Papers/2011/NewJPhys_13_025025_2011.pdf,New Journal of Physics,13
"Kejie Zhao, Wei L. Wang, John Gregoire, Matt Pharr, Zhigang Suo,","""Lithium-Assisted Plastic Deformation of Silicon Electrodes in
Lithium-Ion Batteries: A First-Principles Theoretical Study""",Papers/2011/NanoLett_11_2962-2967_2011.pdf,Nano Lett.,11
"Masataka Katono, Takeru Bessho, Sheng Meng, Robin Humphry-Baker, Guido Rothenberger,","""D-Ï€-A Dye System Containing Cyano-Benzoic Acid as Anchoring
Group for Dye-Sensitized Solar Cells""",Papers/2011/Langmuir_27_14248_2011.pdf,Langmuir,27
"Thomas D. Kuhne, Tod A. Pascal, Efthimios Kaxiras, and Yousung Jung,","""New Insights into the Structure of the Vapor/Water
Interface from Large-Scale First-Principles Simulations""",Papers/2011/JPhysChemLett_2_105-113_2011.pdf,J. Phys. Chem. Lett.,2
"Sheng Meng, Efthimios Kaxiras, Md. K. Nazeeruddin, and Michael Gratzel,","""Design of Dye Acceptors for Photovoltaics from First-Principles
Calculations""",Papers/2011/JPhysChemC_115_9276-9282_2011.pdf,J. Phys. Chem. C,115
"Bingjun Xu, Jan Haubrich, Thomas A. Baker, Efthimios Kaxiras, and Cynthia M. Friend,","""Theoretical Study of O-Assisted Selective Coupling of Methanol on
Au(111)""",Papers/2011/JPhysChemC_115_3703-3708_2011.pdf,J. Phys. Chem. C,115
"Jun Ren, Sheng Meng, Yi-Lin Wang, Xu-Cun Ma, Qi-Kun Xue, Efthimios Kaxiras,","""Properties of copper (fluoro-)phthalocyanine layers deposited
on epitaxial graphene""",Papers/2011/JChemPhys_134_194706_2011.pdf,J. Chem. Phys.,134
"Jan Haubrich, Efthimios Kaxiras, and Cynthia M. Friend,","""The Role of Surface and Subsurface Point Defects for Chemical Model
Studies on TiO2: A First-Principles Theoretical Study of Formaldehyde
Bonding on Rutile TiO2(110)""",Papers/2011/Chemistry_17_4496-4506_2011.pdf,Chem. Eur. J.,17
"Thomas A. Baker, Bingjun Xu, Stephen C. Jensen, Cynthia M. Friend and Efthimios Kaxiras,","""Role of defects in propene adsorption and reaction on a partially
O-covered Au(111) surface""",Papers/2011/CatalSciTechnol_1_1166_2011.pdf,Catal. Sci. Technol.,1
"Youdong Mao, Wei L. Wang, Dongguang Wei, Efthimios Kaxiras, and Joseph G. Sodroski,","""Graphene Structures at an Extreme
Degree of Buckling""",Papers/2011/ACSNano_5_1395-1400_2011.pdf,ACSNano.,5
"H. Li, J.M. Knaup, E. Kaxiras and J.J. Vlassak,","""Stiffening of organosilicate glasses by organic cross-linking""",Papers/ActaMater_59_44-52_2011.pdf,Acta Mater.,59
"W.L. Wang and E. Kaxiras,","""Graphene hydrate: theoretical prediction of a new insulating 
form of graphene""",Papers/NewJPhys_12_125012_2010.pdf,New J. Phys.,12
"L.A. Agapito, N. Kioussis and E. Kaxiras,","""Electric-field control of magnetism in graphene quantum dots:
 Ab initio calculations""",Papers/PhysRevB_82_201411_2010.pdf,Phys. Rev. B,82
"A. Peters, S. Melchionna, E. Kaxiras, J. Latt, J. Sircar, S. Succi,","""Multiscale simulation of cardiovascular flows on the IBM Bluegene/P: 
full heart-circulation system at near red-blood cell resolution""",Papers/IEEE-SC10_2010.pdf,2010 ACM/IEEE International Conference for High Performance,
"J. Ren, E. Kaxiras and S. Meng,","""Optical properties of clusters and molecules from real-time time-dependent
density functional theory using a self-consistent field""",Papers/MolPhys_108_1829-1844_2010.pdf,Molec. Phys.,108
"T.A. Baker, E. Kaxiras and C.M. Friend,","""Insights from Theory on the Relationship Between Surface Reactivity
and Gold Atom Release""",Papers/TopicsCatal_53_365-377_2010.pdf,Top. Catal.,53
"H.P. Chen, R.K. Kalia, E. Kaxiras, G. Lu, A. Nakano, K. Nomura,","""Embrittlement of Metal by Solute Segregation-Induced Amorphization""",Papers/PhysRevLett_104_155502_2010.pdf,Phys. Rev. Lett.,104
"S. Meng and E. Kaxiras,","""Electron and Hole Dynamics in Dye-Sensitized Solar Cells:
Influencing Factors and Systematic Trends""",Papers/NanoLett_10_1238-1247_2010.pdf,NanoLett.,10
"C.L. Chang, S.K.R.S. Sankaranarayanan, D. Ruzmetov, M.H. Engelhard, E. Kaxiras and S. Ramanathan,","""Compositional tuning of ultrathin surface oxides on metal and alloy
substrates using photons: Dynamic simulations and experiments""",Papers/PhysRevB_81_085406_2010.pdf,Phys. Rev. B,81
"T.A. Baker, C.M. Friend and E. Kaxiras,","""Local Bonding Effects in the Oxidation of CO on Oxygen-Covered
Au(111) from Ab Initio Molecular Dynamics Simulations""",Papers/JChemTheComp_6_279-287_2010.pdf,J. Chem. Theory Comput.,6
"S. Melchionna, M. Bernaschi, S. Succi, E. Kaxiras, F.J. Rybicki, D. Mitsouras, A.U. Coskun and C.L. Feldman,","""Hydrokinetic approach to large-scale cardiovascular blood flow""",Papers/CompPhysComm_181_462-472_2010.pdf,Comp. Phys. Comm.,181
"M. Bernaschi, M. Fatica, S. Melchionna, S. Succi and E. Kaxiras,","""A flexible high-performance Lattice Boltzmann GPU code for the
simulations of fluid flows in complex geometries""",Papers/ConcComp_22_1-14_2010.pdf,Concurrency Computat.: Pract. Exper.,22
"E. Manousakis, J. Ren, S. Meng and E. Kaxiras,","""Is the nature of magnetic order in copper-oxides and iron-pnictides 
different?""",Papers/SolStComm_150_62-65_2010.pdf,Sol. St. Comm.,150
"A. Gali, E. Janzen, P. Deak, G. Kresse and E. Kaxiras,","""Theory of Spin-Conserving Excitation of the N-V Center in Diamond""",Papers/PhysRevLett_103_186404_2009.pdf,Phys. Rev. Lett.,103
"S.K.R.S. Sankaranarayanan, E. Kaxiras and S. Ramanathan,","""Electric field tuning of oxygen stoichiometry at oxide surfaces:
molecular dynamics isimulations studies iof zirconia""",Papers/EnEnviSci_2_1196-1204_2009.pdf,Energy & Environmental Sci.,2
"M. Bernaschi, S. Melchionna, S. Succi, M. Fyta, E. Kaxiras","""MUPHY: A parallel MUlti PHYsics/scale code for high performance 
bio-fluidic simulations""",Papers/CompPhysComm_180_1495-1502_2009.pdf,Comp. Phys. Comm.,180
"T.A. Baker, B.J. Xu, X.Y. Liu, E. Kaxiras and C.M. Friend,","""Nature of Oxidation of the Au(111) Surface: Experiment and
Theoretical Investigation""",Papers/JPhysChemC_113_16561-16564_2009.pdf,J. Phys. Chem. C,113
"F.J. Rybicki, S. Melchionna, D. Mitsouras, A.U. Coskun, A.G. Whitmore, E. Kaxiras, S. Succi, P.H. Stone and C.L. Feldman,","""Prediction of coronary artery plaque progression and potential rupture
from 320-detector row prospectively ECG-gated single heart beat CT angiography: 
Lattice Boltzmann evaluation of endothelial shear stress""",Papers/IntJCardImag_25_289-299_2009.pdf,Int. J. Cardiovasc. Imaging,25
"H. Chen, W.G. Zhu, E. Kaxiras, and Z.Y. Zhang,","""Optimization of Mn doping in group-IV-based dilute magnetic semiconductors
by electronic codopants""",Papers/PhysRevB_79_235202_2009.pdf,Phys. Rev. B,79
"M. Fyta, S. Melchionna, M. Bernaschi, E. Kaxiras and S. Succi,","""Numerical simulation of conformational variability in biopolymer translocation 
through wide nanopores""",Papers/JStatMech_2009.pdf,J. Stat. Mech: Th. and Exper.,06
"E.M. Kotsalis, J.H. Walther, E. Kaxiras and P. Koumoutsakos,","""Control algorithm for multiscale flow simulations of water""",Papers/PhysRevE_79_045701RC_2009.pdf,Phys. Rev. E - Rap. Comm.,79
"C.E. Lekka, J. Ren, S. Meng and E. Kaxiras,","""Structural, Electronic, and Optical Properties of Representative Cu-Flavonoid Complexes""",Papers/JPhysChemB_113_6478_2009.pdf,J. Phys. Chem. B,113
"W.L. Wang, O.V. Yazyev, S. Meng and E. Kaxiras,","""Topological Frustration in Graphene Nanoflakes: Magnetic Order and Spin Logic Devices""",Papers/PhysRevLett_102_157201_2009.pdf,Phys. Rev. Lett.,102
"A. Gali and E. Kaxiras,","""Comment on 'Ab initio Electronic and Optical Properties of the N-V-Center in Diamond'""",Papers/PhysRevLett_102_149703_2009.pdf,Ab initio,102
"S. Melchionna, M. Bernaschi, M. Fyta, E. Kaxiras and S. Succi,","""Quantized biopolymer translocation through nanopores: Departure from simple scaling""",Papers/PhysRevE_79_030901RC_2009.pdf,Phys. Rev. E - Rap. Comm.,79
"S.K.R.S. Sankaranarayanan, E. Kaxiras, S. Ramanathan,","""Atomistic Simulation of Field Enhanced Oxidation of Al(1000) Beyond the Mott Potential""",Papers/PhysRevLett_102_095504_2009.pdf,Phys. Rev. Lett.,102
"T.A. Baker, C.M. Friend and E. Kaxiras,","""Effects of chlorine and oxygen coverage on the structure of the Au(111) surface""",Papers/JChemPhys_130_084701_2009.pdf,J. Chem. Phys.,130
"T.A. Baker, C.M. Friend and E. Kaxiras,","""Atomic Oxygen Adsorption on Au(111) Surfaces with Defects""",Papers/JPhysChemC_113_3232_2009.pdf,J. Phys. Chem. C,113
"E. Kaxiras and S. Succi,","""Multiscale simulations of complex systems: computation meets reality""",Papers/SciModSim_15_59_2008.pdf,Sci. Model. Simul.,15
"E. Manousakis, J. Ren, S. Meng and E. Kaxiras,","""Effective Hamiltonian for FeAs-based superconductors""",Papers/PhysRevB_78_205112_2008.pdf,Phys. Rev. B,78
